node,community
2291276308,20
2291276312,20
2291276332,20
2291276335,20
2291276338,20
2291276341,20
2291276348,20
2291276354,20
2291276362,20
2291276366,20
2291276368,20
2291282204,20
2291282205,20
2291282210,20
2291282215,20
2291282217,20
2291282219,20
2291282221,20
2291282222,20
2291282223,20
2291282224,20
2291282225,20
2291282226,20
2291282227,20
2291287770,20
2303359516,11
2303359517,11
2303361418,20
2303361977,20
2326769077,18
2326801411,10
2326801421,4
2326801429,4
2326802252,4
2326802256,4
2326809909,3
2326809910,3
2499032377,52
2499034219,53
2499034225,54
2499034233,54
2499034237,54
2499034243,55
2499034247,55
2499034253,56
2499034262,56
2509452187,5
2509452190,5
2509458804,5
2509458810,5
2509458823,5
2509458826,5
2509503671,5
2509503673,5
2509503706,5
2509503726,5
2509503746,5
2509503772,20
2509908629,54
2509908632,54
2509908637,54
2509908639,54
2509908650,54
2509908652,54
2509908659,54
2509908685,54
2509908689,54
2509908697,54
2509908713,54
2509908726,54
2509908730,54
2509908732,54
2509908736,54
2509908737,54
2509908743,54
2509908745,54
2515214968,48
2515214975,48
2515214977,48
2515214979,48
2515214982,32
2515214985,32
2516235789,19
2516235875,57
2516235914,19
2517174110,57
2517177546,57
2517186772,57
2517186780,57
2517186795,57
2517186804,57
2517194954,57
2517198123,57
2517200982,57
2528296136,13
2528296141,13
2528298730,13
2533155495,11
2533155499,11
2533155504,11
2533157674,11
2533158903,11
2533159815,11
2533159820,11
2533161013,11
2533161016,11
2533161663,11
2556642596,58
2573468414,44
2578051853,11
2579527860,11
2579651566,18
2580588260,18
2580588269,18
2580588293,2
2580588298,2
2580588449,18
2580588466,18
2580588539,18
2580588620,18
2580588627,18
2580588634,18
2580588638,18
2580588643,18
2580588645,18
2580820431,16
2580820433,16
2580820443,16
2580820450,23
2580820452,23
2580820460,16
2580820462,23
2580820477,16
2580820478,16
2580820483,16
2580820484,16
2580820485,16
2580820487,16
2580820495,22
2580820533,22
2580820563,2
2580820565,2
2580820568,16
2580820569,2
2580820576,49
2580820578,49
2580820582,2
2580820587,2
2580820588,2
2580820595,2
2580820599,2
2580820604,2
2580820605,2
2580820609,2
2580820616,2
2580820618,2
2580820625,2
2580820634,22
2580820670,49
2580820671,49
2580820714,20
2580820722,20
2580820724,20
2580820880,20
2580820882,20
2580820913,21
2580820916,20
2580820932,20
2580887628,49
2580923669,16
2580923670,16
2580923675,16
2580923676,16
2580923679,16
2580923682,16
2580923686,16
2580923690,16
2581659081,7
2581659084,7
2581659093,59
2581659098,59
2581664960,6
2590922882,3
2590922886,3
2590922888,3
2590929659,3
2590929669,3
2590955444,43
2590998078,82
2590998104,44
2590998106,82
2590998114,44
2590998124,44
2590998340,44
2591020653,60
2591020665,61
2594258407,49
2594258412,49
2594258418,49
2668909765,11
2668909773,11
2668909783,11
2668909791,11
2668909796,11
2668921505,11
2668931936,12
2668937707,12
2668940801,12
2668940804,12
2668940816,12
2668950459,17
2668950467,17
2668956013,17
2668956075,17
2668956082,17
2668956088,17
2668961118,17
2668961126,2
2668961130,2
2668961132,2
2668961139,2
2668961149,2
2668961163,17
2668961169,2
2668961173,2
2668961190,17
2668961194,17
2668961206,17
2668966970,62
2668967427,62
2669629652,39
2669629654,39
2669636451,67
2669647835,6
2669647856,6
2669650563,67
2669652703,67
2669656315,63
2669656353,64
2669656369,64
2669656378,63
2669656379,63
2669656381,64
2669656387,63
2669656389,63
2669656405,63
2669656683,63
2669656684,63
2669657117,63
2669657263,63
2669657634,63
2669657635,63
2669658176,63
2669658427,63
2669658661,63
2669660124,53
2669660125,64
2669660128,53
2669660129,53
2669660132,53
2669660133,53
2669660135,53
2669660136,53
2669660137,53
2669660154,64
2669660157,53
2669660158,53
2669660159,64
2669662091,65
2669663120,33
2669663121,66
2669663122,66
2669663123,33
2669663124,33
2669663128,33
2669663129,33
2669663133,33
2669663137,33
2669663138,33
2669663141,33
2669663143,33
2669663146,33
2669663147,33
2669663153,32
2669663160,33
2669663161,32
2669663167,33
2669663170,33
2669663185,66
2669663193,66
2669663194,66
2669663197,66
2669663208,66
2669663221,66
2669663223,33
2669663225,66
2697146915,11
2763268517,13
2958022865,11
2958022866,11
3078572246,11
3234577442,11
3234577443,11
3234577445,11
3234577457,11
3234578986,11
3234578990,11
3236801834,11
3238454268,3
3238454272,3
3238454273,3
3238454274,3
3238454278,3
3238454284,3
3238454287,3
3238454290,3
3238454292,3
3238454296,3
3238454297,3
3238454300,3
3294731537,32
3399496729,12
3399496734,12
3399496738,12
3399496739,12
3399496740,12
3399496744,12
3399496747,12
3399496753,12
3399496754,12
3399496755,12
3399496756,12
3399496759,3
3399496789,12
3399496900,12
3399496904,12
3511589890,20
3511589891,20
3511600960,20
3511606591,20
3511607893,20
3511615387,20
3511629550,20
3511629552,20
3511629559,20
3779125443,4
3779125444,4
3779125445,4
3779125446,4
3779125450,4
3779125452,4
3779125454,4
3779125455,4
3779125467,3
3779125472,3
3779125474,3
3779125475,3
3779125476,3
3779125477,3
3779125478,3
3779125479,3
3779125481,3
3779125483,3
3779125487,3
3779125488,3
3779125489,3
3779125490,3
3779125491,3
3779125492,3
3779125494,3
3779125495,3
3779125496,3
3779125497,3
3779125498,3
3779125510,2
3779125515,2
3779125516,2
3779125517,2
3779125519,2
3779125528,2
3779125531,2
3779125544,1
3779125546,1
3779125548,1
3779125549,1
3779125552,1
3779125553,1
3779242655,13
3779259937,11
3779584363,26
3779584364,26
3779584384,26
3779584393,26
3779584394,26
3779584396,26
3779584398,26
3779584400,26
4021591554,4
4022014660,11
4022014662,11
4022014663,11
4023430891,0
4025204398,20
4025279132,13
4025279973,13
4025279978,13
4025279980,13
4025281305,13
4025281307,13
4025281309,13
4025285556,12
4025307800,20
4025315648,20
4025315649,20
4025315975,20
4025315976,20
4025315978,20
4025315979,20
4025316087,20
4025316088,20
4025318296,20
4025318314,20
4025318317,20
4025318526,20
4025318527,20
4025318528,20
4025321623,20
4025321624,20
4025344176,20
4025344177,20
4025347989,20
4025354683,20
4025354684,20
4025357877,20
4025357878,20
4025362976,20
4025369613,20
4025369615,20
4025369616,20
4025369617,20
4025377212,20
4025377214,20
4025377215,20
4025378925,20
4025378926,20
4025378927,20
4025378928,20
4025378934,20
4025392554,20
4025402064,20
4025402066,20
4025406188,20
4025406292,20
4025424105,20
4025425407,20
4025427463,20
4025427465,20
4025431280,20
4025431284,20
4084096824,47
4084096825,47
4084096827,47
4084096828,47
4084096829,47
4084096830,47
4084096832,47
4084096838,47
4084096839,47
4084096841,47
4084096846,47
4084096848,47
4084096849,47
4084096853,47
4084096855,47
4084096866,20
4084096872,20
4084096873,20
4084096876,21
4084096878,20
4084096884,21
4084096888,20
4084101197,20
4084101201,47
4084101202,20
4084101203,21
4084101205,21
4084101206,21
4084101208,20
4084101212,20
4084101213,21
4084101216,21
4084101219,21
4084101222,20
4084101232,21
4084101241,20
4084101245,21
4084101248,20
4084101250,21
4084101252,21
4084101254,21
4084101259,21
4084101261,20
4084101264,21
4084101267,21
4084101268,20
4084101269,20
4084101281,20
4084101285,21
4084101290,20
4084101291,21
4084101297,21
4084101303,21
4084101304,21
4084101309,21
4084101312,21
4084101313,21
4084101316,46
4084101318,46
4084101322,21
4084101325,46
4084101336,46
4084101354,21
4084101357,21
4084101396,21
4106937445,11
4106956281,20
4106956286,20
4106976587,20
4162529566,52
4162529577,64
4208806538,32
4277759595,13
4277774908,13
4277777737,13
4278307817,13
4278307822,13
4278308180,13
4278308184,13
4278313654,13
4278313655,13
4278313656,13
4278316161,13
4278316162,13
4278319891,13
4278319892,13
4278319893,13
4278320521,13
4278320522,13
4278320769,13
4278321805,13
4278321937,13
4278323670,13
4278323671,13
4278323672,13
4278323673,13
4278323674,13
4278324841,13
4278324842,13
4278324845,13
4278325039,13
4278326048,13
4278326049,13
4278326051,13
4278330819,13
4278330820,13
4278330821,13
4278331203,13
4278331204,13
4278331205,13
4278331206,13
4278331207,13
4278331208,13
4332387008,7
4332387013,7
4332399316,7
4332404558,44
4332406933,7
4332406935,7
4332406945,7
4332408563,7
4332408574,7
4332408577,7
4332433215,7
4332433231,7
4332435194,7
4332435196,7
4332435209,7
4332435227,7
4332435236,7
4332437079,7
4332437080,7
4332440734,7
4332440749,7
4332449089,7
4332449093,7
4332449100,7
4332449865,7
4332449867,7
4332455238,7
4332455241,7
4332455243,7
4332455846,7
4332455849,7
4332466931,7
4332527469,60
4332527471,60
4332527481,60
4332527485,60
4332537976,60
4332537977,60
4333544603,7
4333544604,7
4333563149,7
4333563156,7
4333563161,7
4333563166,7
4333563169,7
4333565118,7
4333565121,7
4333565124,7
4333565801,7
4333565803,7
4333568898,7
4333568902,7
4333570552,7
4333570558,7
4333570565,7
4333572661,7
4333572668,7
4333572670,7
4333573660,7
4333574989,7
4333575004,7
4333576411,7
4333576418,7
4333577568,7
4333577573,7
4333581254,7
4333581266,7
4333581275,7
4333581945,7
4333581951,7
4333583166,7
4333583167,7
4333583205,7
4333584319,7
4333584322,7
4333584538,7
4333586567,7
4333586571,7
4333586839,7
4333590438,7
4333592001,7
4333594723,7
4333594732,7
4333594734,7
4333602075,7
4333602077,7
4333602080,7
4333604248,7
4333604252,7
4333608791,7
4333618097,7
4333618106,7
4333631154,7
4333631155,7
4333631160,7
4333631162,7
4333631164,7
4333631166,7
4333631167,7
4333631353,7
4333631361,7
4333633559,7
4333633569,7
4333634782,7
4333634786,7
4333656804,7
4333656805,7
4333656806,7
